"Ticker";"Nome";"Preco Atual";"Setor";"Subsetor"
"AALR3";"ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.";3.28;"Health Services";"Serv.Méd.Hospit..Análises e Diagnósticos"
"AALR3F";"ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.";3.3;"Health Services";""
"ABCB4";"BCO ABC BRASIL S.A.";23.54;"Finance";"Bancos"
"ABCB4F";"BCO ABC BRASIL S.A.";23.54;"Finance";""
"ABEV3";"AMBEV S.A.";15.81;"Consumer Non-Durables";"Cervejas e Refrigerantes"
"ABEV3F";"AMBEV S.A.";15.83;"Consumer Non-Durables";""
"AERI3";"AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A";2.04;"Producer Manufacturing";"Máq. e Equip. Industriais"
"AERI3F";"AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A";2.02;"Producer Manufacturing";""
"AFLT3";"AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A";7.32;"Utilities";"Energia Elétrica"
"AFLT3F";"AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A";7.37;"Utilities";""
"AGRO3";"BRASILAGRO - CIA BRAS DE PROP AGRICOLAS";19.38;"Finance";"Agricultura"
"AGRO3F";"BRASILAGRO - CIA BRAS DE PROP AGRICOLAS";19.39;"Finance";""
"AGXY3";"AGROGALAXY PARTICIPAÇÕES S.A.";1.74;"Distribution Services";"Agricultura"
"AGXY3F";"AGROGALAXY PARTICIPAÇÕES S.A.";1.76;"Distribution Services";""
"AHEB3";"SAO PAULO TURISMO S.A.";23.9;"Commercial Services";"Produção de Eventos e Shows"
"AHEB3F";"SAO PAULO TURISMO S.A.";22.6;"Commercial Services";""
"AHEB5F";"SAO PAULO TURISMO S.A.";46.38;"Commercial Services";""
"ALLD3";"ALLIED TECNOLOGIA S.A.";4.5;"Technology Services";"Eletrodomésticos"
"ALLD3F";"ALLIED TECNOLOGIA S.A.";4.51;"Technology Services";""
"ALOS3";"ALLOS S.A";27.01;"Finance";"Exploração de Imóveis"
"ALOS3F";"ALLOS S.A";27.02;"Finance";""
"ALPA3";"ALPARGATAS S.A.";8.92;"Consumer Non-Durables";"Calçados"
"ALPA3F";"ALPARGATAS S.A.";8.93;"Consumer Non-Durables";""
"ALPA4";"ALPARGATAS S.A.";11.66;"Consumer Non-Durables";""
"ALPA4F";"ALPARGATAS S.A.";11.67;"Consumer Non-Durables";""
"ALPK3";"ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A";4.18;"Consumer Services";"Serviços Diversos"
"ALPK3F";"ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A";4.18;"Consumer Services";""
"ALUP11F";"ALUPAR INVESTIMENTO S/A";33.2;"Utilities";""
"ALUP3";"ALUPAR INVESTIMENTO S/A";11.83;"Utilities";"Energia Elétrica"
"ALUP3F";"ALUPAR INVESTIMENTO S/A";12.09;"Utilities";""
"ALUP4";"ALUPAR INVESTIMENTO S/A";10.59;"Utilities";""
"ALUP4F";"ALUPAR INVESTIMENTO S/A";10.67;"Utilities";""
"AMAR3";"MARISA LOJAS S.A.";0.57;"Retail Trade";"Tecidos. Vestuário e Calçados"
"AMAR3F";"MARISA LOJAS S.A.";0.58;"Retail Trade";""
"AMBP3";"AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A";0.16;"Commercial Services";"Água e Saneamento"
"AMBP3F";"AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A";0.15;"Commercial Services";""
"AMER3";"AMERICANAS S.A";3.92;"Retail Trade";"Produtos Diversos"
"AMER3F";"AMERICANAS S.A";3.92;"Retail Trade";""
"AMOB3";"AUTOMOB PARTICIPAÇÕES S.A.";12.4;"Retail Trade";"Automóveis e Motocicletas"
"AMOB3F";"AUTOMOB PARTICIPAÇÕES S.A.";12.35;"Retail Trade";""
"ANIM3";"ANIMA HOLDING S.A.";2.13;"Consumer Services";"Serviços Educacionais"
"ANIM3F";"ANIMA HOLDING S.A.";2.13;"Consumer Services";""
"ARML3";"ARMAC LOCAÇÃO. LOGÍSTICA E SERVIÇOS S.A.";3.17;"Finance";"Máq. e Equip. Industriais"
"ARML3F";"ARMAC LOCAÇÃO. LOGÍSTICA E SERVIÇOS S.A.";3.18;"Finance";""
"ARND3";"ARND3";0.5;"Commercial Services";"Programas e Serviços"
"ARND3F";"ARND3F";0.52;"Commercial Services";""
"ASAI3";"SENDAS DISTRIBUIDORA S.A.";8.19;"Retail Trade";"Alimentos"
"ASAI3F";"SENDAS DISTRIBUIDORA S.A.";8.2;"Retail Trade";""
"ATED3";"ATOM EDUCAÇÃO E EDITORA S.A.";1.5;"Technology Services";"Serviços Educacionais"
"ATED3F";"ATOM EDUCAÇÃO E EDITORA S.A.";1.55;"Technology Services";""
"AUAU3";"UNIÃO PET PARTICIPAÇÕES S.A.";3.12;"Process Industries";"Produtos Diversos"
"AUAU3F";"UNIÃO PET PARTICIPAÇÕES S.A.";3.13;"Process Industries";""
"AURE3";"AUREN ENERGIA S.A.";11.24;"Utilities";"Energia Elétrica"
"AURE3F";"AUREN ENERGIA S.A.";11.24;"Utilities";""
"AVLL3";"ALPHAVILLE S.A.";10.15;"Finance";"Incorporações"
"AVLL3F";"ALPHAVILLE S.A.";10.15;"Finance";""
"AXIA3";"AXIA3";49.96;"Utilities";"Energia Elétrica"
"AXIA3F";"AXIA3F";49.97;"Utilities";""
"AXIA7";"AXIA7";48.89;"Utilities";""
"AXIA7F";"AXIA7F";48.91;"Utilities";""
"AZEV3";"AZEVEDO E TRAVASSOS S.A.";1.98;"Industrial Services";"Construção Pesada"
"AZEV3F";"AZEVEDO E TRAVASSOS S.A.";1.98;"Industrial Services";""
"AZEV4";"AZEVEDO E TRAVASSOS S.A.";1.24;"Industrial Services";""
