"Ticker";"Nome";"Preco Atual";"Setor"
"AAGR11";"AAGR11";119.53;""
"AAZQ11";"AAZQ11";6.55;"Outros"
"ABCP11";"ABCP11";74.3;"Shoppings"
"ADSH11";"ADSH11";10.7;"Multicategoria"
"AFHF11";"AFHF11";10.04;""
"AFHI11";"AFHI11";94.76;"Multicategoria"
"AGRX11";"AGRX11";8.3;"Outros"
"AIEC11";"AIEC11";61.23;"Escritórios"
"AJFI11";"AJFI11";8.08;"Shoppings"
"ALMI11";"ALMI11";606.65;"Escritórios"
"ALZC11";"ALZC11";7.31;""
"ALZR11";"ALZR11";9.92;"Multicategoria"
"ANCR11";"ANCR11";290;"Shoppings"
"APTO11";"APTO11";8.36;"Outros"
"APXM11";"APXM11";66.48;"Shoppings"
"APXR11";"APXR11";99.99;"Residencial"
"AROA11";"AROA11";1.3;"Multicategoria"
"ARRI11";"ARRI11";4.71;"Multicategoria"
"ARTE11";"ARTE11";7.4;"Residencial"
"ARXD11";"ARXD11";7.91;""
"ATSA11";"ATSA11";57.01;"Shoppings"
"AZIN11";"AZIN11";97.97;""
"AZPL11";"AZPL11";7.4;"Logística"
"BBFO11";"BBFO11";69.1;"Multicategoria"
"BBGO11";"BBGO11";65.48;"Outros"
"BBIG11";"BBIG11";5.64;"Shoppings"
"BBRC11";"BBRC11";105;"Outros"
"BCIA11";"BCIA11";89.22;"Multicategoria"
"BCRI11";"BCRI11";59.98;"Outros"
"BDIV11";"BDIV11";37.21;""
"BGRB11";"BGRB11";100;""
"BICE11";"BICE11";540;"Outros"
"BIME11";"BIME11";4.86;""
"BISE11";"BISE11";104.01;""
"BLCA11";"BLCA11";87.1;"Escrit��rios"
"BLMG11";"BLMG11";30.69;"Multicategoria"
"BLMO11";"BLMO11";88.88;"Escritórios"
"BLOG11";"BLOG11";6.6;"Multicategoria"
"BLUE11";"BLUE11";115;""
"BMLC11";"BMLC11";100.18;"Outros"
"BNFS11";"BNFS11";39.05;"Varejo"
"BPML11";"BPML11";84.5;"Multicategoria"
"BRCO11";"BRCO11";113.43;"Logística"
"BRCR11";"BRCR11";40.39;"Multicategoria"
"BRFT11";"BRFT11";79.97;""
"BRIP11";"BRIP11";320;"Multicategoria"
"BROF11";"BROF11";60;"Multicategoria"
"BRZP11";"BRZP11";179.93;""
"BSLT11";"BSLT11";64;""
"BTAG11";"BTAG11";100.56;""
"BTCI11";"BTCI11";9.12;""
"BTHF11";"BTHF11";8.94;""
"BTHI11";"BTHI11";43.98;"Hotel"
"BTLG11";"BTLG11";102.56;"Multicategoria"
"BTYU11";"BTYU11";7.6;"Outros"
"BVAR11";"BVAR11";1144.33;"Varejo"
"CACR11";"CACR11";17.96;"Multicategoria"
"CARE11";"CARE11";2.35;"Multicategoria"
"CBOP11";"CBOP11";31.07;"Escritórios"
"CCME11";"CCME11";9.07;"Multicategoria"
"CEOC11";"CEOC11";40.22;"Escritórios"
"CFII11";"CFII11";500;"Multicategoria"
"CJCT11";"CJCT11";67;"Escritórios"
"CLIN11";"CLIN11";88.6;"Outros"
"CNES11";"CNES11";1.46;"Escritórios"
"COPN11";"COPN11";39.43;""
"CPLG11";"CPLG11";10.98;"Logística"
"CPOF11";"CPOF11";110;"Outros"
"CPSH11";"CPSH11";9.77;""
"CPTR11";"CPTR11";7.98;"Outros"
"CPTS11";"CPTS11";7.46;"Outros"
"CPUR11";"CPUR11";10.48;""
"CRAA11";"CRAA11";93.7;"Outros"
"CRFF11";"CRFF11";65.18;"Multicategoria"
"CTXT11";"CTXT11";4.44;"Escritórios"
"CXAG11";"CXAG11";75.48;"Varejo"
"CXCE11";"CXCE11";39.81;"Escritórios"
"CXCI11";"CXCI11";65.11;"Multicategoria"
"CXCO11";"CXCO11";70.39;"Multicategoria"
"CXRI11";"CXRI11";64.67;"Multicategoria"
"CXTL11";"CXTL11";235;"Logística"
"CYCR11";"CYCR11";8.57;"Outros"
"CYLD11";"CYLD11";81;"Logística"
"DAMA11";"DAMA11";5.99;"Multicategoria"
"DAMT11";"DAMT11";18;"Shoppings"
"DAYM11";"DAYM11";3.94;""
"DBIN11";"DBIN11";101.94;""
"DCRA11";"DCRA11";6.85;"Outros"
"DEVA11";"DEVA11";18.14;"Multicategoria"
"DPRO11";"DPRO11";5.38;"Multicategoria"
"DVFF11";"DVFF11";5.23;"Outros"
"EDFO11";"EDFO11";147.99;"Residencial"
"EDGA11";"EDGA11";13.05;"Multicategoria"
"EDGE11";"EDGE11";946.66;"Multicategoria"
"EGAF11";"EGAF11";87.96;"Títulos e Val. Mob."
"EGDB11";"EGDB11";1276.1;"Escritórios"
"EIRA11";"EIRA11";104.55;"Multicategoria"
"EMET11";"EMET11";9.31;""
"ENDD11";"ENDD11";109;""
"EQIR11";"EQIR11";8.32;"Multicategoria"
"ERPA11";"ERPA11";126.15;"Multicategoria"
"EURO11";"EURO11";316.99;"Logística"
"EXES11";"EXES11";9.59;"Multicategoria"
"EXIF11";"EXIF11";10.21;""
"FAED11";"FAED11";152;"Outros"
"FAMB11";"FAMB11";703;"Residencial"
"FATN11";"FATN11";79.82;"Híbrido"
"FCFL11";"FCFL11";123.07;"Multicategoria"
"FGAA11";"FGAA11";8.18;"Outros"
"FIGS11";"FIGS11";49.87;"Shoppings"
"FIIB11";"FIIB11";438;"Logística"
"FIIP11";"FIIP11";133.35;""
"FISC11";"FISC11";67.23;"Escritórios"
"FIVN11";"FIVN11";2.83;"Shoppings"
"FLCR11";"FLCR11";93.3;"Outros"
"FLMA11";"FLMA11";150.72;"Escritórios"
"FLRP11";"FLRP11";20.39;"Shoppings"
"FMOF11";"FMOF11";35.06;"Escritórios"
"FPAB11";"FPAB11";200;"Escritórios"
"FPNG11";"FPNG11";465.06;"Multicategoria"
"FTCA11";"FTCA11";8.12;""
"FVPQ11";"FVPQ11";53.66;"Shoppings"
"FYTO11";"FYTO11";8.21;"Multicategoria"
"FZDA11";"FZDA11";130;"Outros"
"GAME11";"GAME11";8.25;"Outros"
"GARE11";"GARE11";8.17;"Multicategoria"
"GCDL11";"GCDL11";125.31;"Logística"
"GCRA11";"GCRA11";50.97;"Multicategoria"
"GCRI11";"GCRI11";67.14;"Multicategoria"
"GFDL11";"GFDL11";118.42;"Logística"
"GGRC11";"GGRC11";9.88;"Multicategoria"
"GLCR11";"GLCR11";98.74;"Multicategoria"
"GLPF11";"GLPF11";109.45;"Logística"
"GRAV11";"GRAV11";36.5;""
"GRUL11";"GRUL11";8.46;"Logística"
"GRWA11";"GRWA11";7.36;"Outros"
"GSFI11";"GSFI11";11.28;"Shoppings"
"GSRF11";"GSRF11";114.5;"Residencial"
"GTWR11";"GTWR11";80.26;"Escritórios"
"GZIT11";"GZIT11";43.93;""
"HAAA11";"HAAA11";55;"Escritórios"
"HABT11";"HABT11";71.33;"Multicategoria"
